# Ollama Monitoring Session
# Start Time:,2026-01-18 23:41:35
# Duration:,239.7 seconds
# Interval:,1.0 seconds
# GPU Available:,Yes
# Total GPU Memory:,4096 MB

Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
218.68,1.4,0,74.4,48.34,0,0,0.91,5.81,6.72
219.78,3.9,0,74.4,48.34,0,0,2.54,5.81,8.34
220.89,1.3,0,74.4,48.34,0,0,0.85,5.8,6.64
221.99,7.5,0,74.4,48.34,0,0,4.88,5.79,10.66
223.1,2.0,0,74.3,48.34,0,0,1.3,5.79,7.09
224.2,0.0,0,74.3,48.34,0,0,0.0,5.79,5.79
225.31,3.9,0,74.3,48.34,0,0,2.54,5.78,8.31
226.41,3.9,0,74.3,48.34,0,0,2.54,5.77,8.3
227.52,0.0,0,74.3,48.34,0,0,0.0,5.76,5.76
228.62,2.4,0,74.3,48.34,0,0,1.56,5.77,7.33
229.73,10.0,0,74.4,48.34,0,0,6.5,5.77,12.27
230.83,1.3,0,74.3,48.34,0,0,0.85,5.77,6.61
231.94,100.0,0,74.3,48.34,0,0,65.0,5.75,70.75
233.05,1.3,0,74.3,48.34,0,0,0.85,5.75,6.59
234.15,33.3,0,74.3,48.34,0,0,21.64,5.76,27.41
235.26,0.0,0,74.3,48.34,0,0,0.0,5.75,5.75
236.36,100.0,0,74.3,48.34,0,0,65.0,5.74,70.74
237.47,1.2,0,74.3,48.34,0,0,0.78,5.71,6.5
238.57,0.0,0,74.3,48.34,0,0,0.0,5.72,5.72
239.68,0.0,0,74.3,48.34,0,0,0.0,5.75,5.75

# Summary Statistics
# Avg CPU Usage:,12.81%
# Avg GPU Usage:,14.13%
# Avg Total Power:,19.67 W
# Total Energy:,1.1909 Wh
# Peak Power:,77.77 W
# Peak GPU VRAM:,0.00 MB
