# Ollama Monitoring Session
# Start Time:,2026-01-20 10:15:33
# Duration:,599.3 seconds
# Interval:,1.0 seconds
# GPU Available:,Yes
# Total GPU Memory:,4096 MB

Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
393.64,19.2,63,72.3,966.02,0,0,12.48,15.65,28.13
394.74,16.4,77,72.3,966.02,0,0,10.66,15.7,26.36
395.84,26.2,74,72.1,966.02,0,0,17.03,16.08,33.11
396.95,17.6,77,72.1,966.06,0,0,11.44,16.17,27.61
398.07,11.5,81,72.5,966.07,0,0,7.48,16.05,23.53
399.18,20.0,73,72.6,966.02,0,0,13.0,15.93,28.93
400.29,1.4,0,72.8,966.02,0,0,0.91,13.78,14.69
401.39,14.3,0,72.8,966.02,0,0,9.3,9.82,19.11
402.5,0.0,0,72.9,966.02,0,0,0.0,8.45,8.45
403.6,1.3,0,72.9,966.02,0,0,0.85,8.41,9.25
404.71,3.3,0,72.9,966.02,0,0,2.15,8.37,10.51
405.81,10.6,0,72.9,966.09,0,0,6.89,6.58,13.47
406.91,10.8,100,72.8,966.09,0,0,7.02,14.26,21.28
408.02,7.7,100,72.9,966.09,0,0,5.0,14.91,19.91
409.12,9.8,95,72.9,966.09,0,0,6.37,14.9,21.27
410.22,6.4,100,72.9,966.09,0,0,4.16,14.98,19.14
411.33,10.1,100,72.9,966.09,0,0,6.56,14.97,21.53
412.43,20.0,100,72.9,966.09,0,0,13.0,14.88,27.88
413.53,12.8,100,72.9,966.09,0,0,8.32,15.03,23.34
414.64,11.8,98,72.7,966.09,0,0,7.67,15.0,22.67
415.74,14.5,100,72.8,966.09,0,0,9.42,14.97,24.4
416.84,13.1,100,72.8,966.09,0,0,8.52,14.94,23.45
417.95,25.4,94,72.8,966.09,0,0,16.51,14.93,31.44
419.05,11.3,100,72.8,966.09,0,0,7.35,15.01,22.35
420.15,18.4,74,72.8,966.14,0,0,11.96,15.56,27.52
